,release_year,type,new_code
858,2015,Movie,NZL
859,2015,Movie,IND
860,2016,Movie,IND
861,2017,Movie,VEN
862,2015,Movie,IND
863,2017,TV Show,MYS
864,2013,Movie,IND
865,2014,Movie,IND
866,2016,Movie,USA
867,2016,Movie,ESP
868,2016,Movie,IND
869,2017,Movie,AUS
870,2017,Movie,ARE
871,2016,Movie,AUS
872,2016,Movie,IND
873,2017,TV Show,FRA
874,1960,Movie,IND
875,1960,Movie,MYS
876,2017,Movie,IND
877,2014,Movie,IND
878,2016,Movie,IND
879,1959,Movie,IND
880,2016,Movie,IND
881,2016,Movie,CAN
882,2016,Movie,IND
883,2016,Movie,THA
884,2016,Movie,USA
885,2016,Movie,ARE
886,2016,Movie,FRA
887,2012,Movie,JPN
888,2008,Movie,JPN
889,2010,Movie,JPN
890,2015,Movie,FRA
891,2006,TV Show,JPN
892,2008,Movie,JPN
893,2007,Movie,JPN
894,2016,TV Show,USA
895,2015,TV Show,GBR
896,2015,TV Show,FRA
897,2019,Movie,CAN
898,2017,Movie,CHN
899,2016,Movie,USA
900,2015,Movie,ITA
901,2015,Movie,FRA
902,2013,TV Show,USA
903,2013,Movie,USA
904,2019,Movie,FRA
905,2019,TV Show,PRK
906,2018,Movie,IND
907,2015,TV Show,USA
908,2016,Movie,DEU
909,2016,Movie,JOR
910,2016,Movie,NLD
911,2016,Movie,TUR
912,2016,Movie,FRA
913,2016,Movie,DEU
914,2016,Movie,POL
915,2017,Movie,MEX
916,2017,Movie,GBR
917,2017,Movie,USA
918,2017,Movie,USA
919,2016,Movie,USA
920,2018,Movie,GBR
921,2018,Movie,USA
922,2014,TV Show,TUR
923,2018,Movie,ESP
924,2018,Movie,FRA
925,2018,Movie,USA
926,2018,TV Show,USA
927,2018,Movie,IDN
928,2018,Movie,USA
929,2018,TV Show,USA
930,2018,TV Show,USA
931,2018,Movie,USA
932,2018,Movie,ISR
933,2018,Movie,GBR
934,2018,Movie,CAN
935,2016,Movie,SAU
936,2017,Movie,ESP
937,2016,Movie,USA
938,2014,Movie,USA
939,2017,Movie,TUR
940,2019,Movie,USA
941,2019,Movie,USA
942,2019,Movie,NGA
943,2019,Movie,JPN
944,2019,Movie,ESP
945,2019,Movie,FRA
946,2015,Movie,IDN
947,2018,TV Show,USA
948,2018,TV Show,USA
949,2016,Movie,EGY
950,2016,Movie,FRA
951,2018,TV Show,USA
952,2019,Movie,USA
953,2019,TV Show,JPN
954,2018,Movie,NOR
955,2018,Movie,ISL
956,2018,Movie,USA
957,2018,TV Show,BRA
958,2018,Movie,USA
959,2017,Movie,USA
960,2009,TV Show,USA
961,2009,TV Show,GBR
962,2001,TV Show,GBR
963,2014,Movie,USA
964,1989,Movie,DNK
965,1989,Movie,FRA
966,1989,Movie,POL
967,2019,Movie,CAN
968,2001,Movie,USA
969,2001,Movie,DEU
970,2001,Movie,CAN
971,2013,Movie,USA
972,1995,Movie,USA
973,2003,Movie,USA
974,2001,Movie,USA
975,1992,Movie,USA
976,1992,Movie,GBR
977,2000,Movie,USA
978,2000,Movie,DEU
979,2003,Movie,USA
980,2016,TV Show,PRK
981,2017,TV Show,PRK
982,2018,TV Show,IND
983,2004,Movie,USA
984,2004,Movie,DEU
985,2003,Movie,USA
986,2014,Movie,USA
987,2018,TV Show,IND
988,1990,Movie,POL
989,2001,Movie,USA
990,2018,Movie,NLD
991,2018,TV Show,IND
992,1997,Movie,USA
993,2007,Movie,USA
994,2007,Movie,CAN
995,2008,Movie,USA
996,2011,Movie,USA
997,1975,Movie,POL
998,2017,Movie,USA
999,2017,TV Show,IND
1000,1973,Movie,POL
1001,2009,Movie,USA
1002,2009,Movie,GBR
1003,2009,Movie,AUS
1004,2017,Movie,IND
1005,2019,Movie,USA
1006,1985,Movie,POL
1007,1985,Movie,DEU
1008,2002,Movie,USA
1009,2018,TV Show,PRK
1010,2019,Movie,USA
1011,2007,Movie,USA
1012,2007,Movie,USA
1013,2004,Movie,USA
1014,2013,Movie,USA
1015,1980,Movie,USA
1016,2000,Movie,DEU
1017,2000,Movie,USA
1018,1997,Movie,USA
1019,2010,Movie,GBR
1020,2010,Movie,FRA
1021,2010,Movie,USA
1022,2016,TV Show,PRK
1023,2005,Movie,USA
1024,2017,Movie,PER
1025,1984,Movie,GBR
1026,1984,Movie,USA
1027,2006,Movie,USA
1028,2007,Movie,USA
1029,2010,Movie,USA
1030,2007,Movie,USA
1031,1970,Movie,POL
1032,2009,Movie,NGA
1033,1994,Movie,USA
1034,2000,Movie,USA
1035,2016,TV Show,PRK
1036,2017,TV Show,PRK
1037,1982,Movie,POL
1038,2006,Movie,USA
1039,1998,Movie,USA
1040,1978,Movie,POL
1041,2005,Movie,USA
1042,2009,Movie,USA
1043,1996,Movie,GBR
1044,2004,Movie,USA
1045,2004,Movie,MLT
1046,2004,Movie,GBR
1047,2017,TV Show,PRK
1048,2006,Movie,USA
1049,2017,Movie,USA
1050,1983,Movie,POL
1051,1967,Movie,POL
1052,2016,Movie,IND
1053,2017,Movie,CAN
1054,2009,Movie,IND
1055,2014,Movie,IND
1056,2016,Movie,IND
1057,2009,Movie,USA
1058,2017,Movie,USA
1059,2017,Movie,SWE
1060,2018,TV Show,GBR
1061,2009,Movie,IND
1062,2009,Movie,IND
1063,2014,Movie,IND
1064,2017,Movie,USA
1065,2018,TV Show,USA
1066,2012,Movie,IND
1067,2015,Movie,USA
1068,2018,Movie,USA
1069,2013,Movie,IND
1070,2014,Movie,IND
1071,2009,Movie,IND
1072,2018,TV Show,USA
1073,2017,Movie,IND
1074,2014,Movie,IND
1075,2008,Movie,IND
1076,2015,Movie,IND
1077,2009,Movie,IND
1078,2011,Movie,USA
1079,2010,Movie,USA
1080,2018,Movie,IND
1081,2014,Movie,IND
1082,2018,TV Show,USA
1083,2009,Movie,IND
1084,2008,Movie,IND
1085,2009,Movie,IND
1086,2016,Movie,IND
1087,2012,Movie,IND
1088,2005,Movie,IND
1089,2017,Movie,IND
1090,2016,Movie,IND
1091,2017,Movie,AUS
1092,2012,Movie,IND
1093,2011,Movie,IND
